Pressure - Time: 0, Voltage: 0.52 V, Pressure: 1241.1 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.53 V, Pressure: 1499.6 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.53 V, Pressure: 1344.5 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.52 V, Pressure: 1551.3 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.52 V, Pressure: 827.4 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.53 V, Pressure: 879.1 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.53 V, Pressure: 1447.9 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.52 V, Pressure: 1344.5 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.51 V, Pressure: 1499.6 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.53 V, Pressure: 1913.3 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.54 V, Pressure: 1913.3 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.52 V, Pressure: 930.8 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.54 V, Pressure: 2016.7 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.52 V, Pressure: 1396.2 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.54 V, Pressure: 1344.5 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.53 V, Pressure: 724.0 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.52 V, Pressure: 1913.3 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.54 V, Pressure: 879.1 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.53 V, Pressure: 1499.6 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.52 V, Pressure: 1913.3 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.51 V, Pressure: 1292.8 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.52 V, Pressure: 1499.6 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.52 V, Pressure: 1344.5 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.52 V, Pressure: 827.4 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.53 V, Pressure: 1241.1 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.54 V, Pressure: 1809.9 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.52 V, Pressure: 1965.0 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.52 V, Pressure: 1292.8 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.53 V, Pressure: 1241.1 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.53 V, Pressure: 827.4 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.54 V, Pressure: 672.2 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.53 V, Pressure: 879.1 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.52 V, Pressure: 1292.8 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.52 V, Pressure: 310.3 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.54 V, Pressure: 1499.6 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.52 V, Pressure: 930.8 Pa, Depth: 0.00 m
